Period,Day-ahead_Price_2015_[EUR/MWh],Emissions_2015_[g/kWh],Day-ahead_Price_2016_[EUR/MWh],Emissions_2016_[g/kWh],Day-ahead_Price_2017_[EUR/MWh],Emissions_2017_[g/kWh],Day-ahead_Price_2018_[EUR/MWh],Emissions_2018_[g/kWh],Day-ahead_Price_2019_[EUR/MWh],Emissions_2019_[g/kWh],Day-ahead_Price_2020_[EUR/MWh],Emissions_2020_[g/kWh],Day-ahead_Price_2021_[EUR/MWh],Emissions_2021_[g/kWh],Day-ahead_Price_2022_[EUR/MWh],Emissions_2022_[g/kWh],Day-ahead_Price_2023_[EUR/MWh],Emissions_2023_[g/kWh],
2818,49.97,510.566092519582,24.91,432.80200571607,42.9,499.675436552646,21.01,328.59557101411,34.48,388.251938247034,21.17,245.771537703441,54.47,289.702682000399,251.26,408.071666601258,113.18,361.676773564437,
2819,47.92,490.669596820165,24.21,425.149978649027,41.9,482.441425849909,23.27,315.13028710238,35.53,377.460893965469,20.64,219.457400574743,51.49,261.534979864843,224.93,376.226414014632,106.17,354.209208315969,
2820,40.99,482.848501139574,24.14,404.066682946432,38.99,493.027284849131,26.4,301.947946854951,32.6,365.109318371175,21.92,211.000045265212,49.55,257.522628691002,213.56,356.754940698629,102.05,356.56905599326,
2821,37.17,476.345801624411,23.56,387.566247527777,35.46,498.22507793732,20.4,292.158464522889,31.44,351.222390996718,20.39,206.921786078363,49.45,265.969437294796,208,345.082165557827,93.09,351.154218280531,
2822,33.9,476.255743644798,23.42,375.976541320206,33.62,500.92136124096,23.33,296.292088284038,30.4,335.856715190905,19.85,208.222618368284,50.84,289.904728436083,200.09,333.183249347869,90.19,347.83832105411,
2823,30.62,471.779851058683,23.53,368.79313370766,33.05,506.474427246489,23.88,308.961741952214,29.77,339.01177400995,18.42,217.012715944737,54.3,329.498927821749,197.05,325.733731753781,89,369.242703512347,
2824,29.65,463.870005107431,24.03,369.365429620031,32.76,516.509944937517,22.07,334.431480707328,31.74,345.518531631351,18.4,242.044438944273,55.96,372.662347940169,196.3,340.477466324575,90.61,392.187195446051,
2825,31.39,475.483956185353,28.95,385.476520847482,33.78,522.71316585775,32.91,377.44183586514,35.51,361.519491674105,24.92,314.17495964329,65.71,400.775867088974,197.13,366.981086414018,100.24,409.093489478925,
2826,34.53,505.500502333469,30.27,407.747846257928,40.29,536.131802798303,36.08,433.728105261876,41.68,404.185128556977,32.96,358.377626238429,71.34,410.015643877787,217.63,413.847117134852,115.7,409.846140425417,
2827,41.11,530.144678514294,33,441.538265898505,43.91,554.817071771748,42.17,458.656592004658,45.32,454.22495623946,48.31,391.311218733258,77.99,399.795502454475,255,460.05345668188,120.04,412.756724932205,
2828,42.23,543.683897047243,31.95,489.139061164689,42.99,577.396890643205,45.95,477.551394107213,47.75,492.638527691281,45.56,405.257978434754,77.12,394.501437149129,279.09,496.486430790564,125.4,421.491447243151,
2829,40.9,548.30153892201,27.93,510.397153778816,37.97,574.746748193098,42.27,484.717496459963,46.07,498.453078830243,38.56,420.251187014948,68.03,382.519838793382,284.91,510.01413515812,124.34,422.874742875392,
2830,34.83,540.909539057408,25.51,516.409519536739,32.65,573.321977687965,39.51,503.718382180226,47.76,501.202303423514,32.1,423.599152338627,64.29,373.887442844225,268.91,517.825277234146,116.71,431.193471975186,
2831,27.2,521.003976162586,23,517.253125765327,31.08,557.913940332576,35.96,513.261585740106,44.56,521.918269341331,24.74,422.166394509048,54.21,374.287075856475,253.56,529.151130162873,105.48,435.496270155685,
2832,25.77,500.771026693806,23.46,507.544500152321,33.61,543.316768736108,35.98,526.132403559672,38.53,513.917893565475,22.21,405.849645352808,52.59,372.644128413286,222.78,537.28029918413,115.59,437.662569682074,
2833,26.45,503.485657423193,24.55,499.100743622463,28.44,537.915732788855,30.78,516.14541623845,36.22,503.878298208326,20.27,369.228182348056,53.36,380.896296910659,206.05,545.136258686165,108.56,434.060190894057,
2834,25.75,497.126746173184,23.28,505.940116740594,29.88,531.528456726054,27.83,516.94922429346,35.57,460.937065977213,20.42,336.537107134269,52.89,390.930538100115,203.15,549.11805050849,106.1,441.853138950913,
2835,25.4,498.443326682694,23.73,515.44191457587,29.86,531.977984217146,26.65,501.437234964489,35.01,436.577158699288,20.16,333.061810174188,52.07,402.059782835052,202.52,551.001805054724,105,445.272109912151,
2836,25.94,497.525883656168,25.59,508.480541560251,30.16,523.75903286407,25.1,491.456815329964,34.18,424.155323917737,20.61,342.653063272715,52.04,423.239430138849,203.23,559.555437421259,101.24,449.800077013384,
2837,28.94,516.318189001245,31.12,513.163924198647,30.58,522.666429956296,22.51,477.559474001724,36.57,433.504285387166,21.94,382.884485599178,53.76,422.996818566067,205.09,576.427337112724,102.75,452.231750115412,
2838,38.9,535.431866725778,37.99,530.535975796714,32.46,516.678780567119,23.06,450.952433905082,46.82,460.797694419167,25.94,395.930032409248,66.62,406.558704862975,213.86,578.159023261868,103.24,446.874649439849,
2839,42.01,528.445153794854,37.99,546.816858950073,33.72,495.329802034964,23.42,416.556065572318,52.77,466.208827024804,27.94,371.437573979164,79.9,390.964862992724,255.77,559.674206379795,109.4,432.292129091716,
2840,41.39,497.088576467124,34.1,529.038728000451,32.69,479.896624117728,26.42,384.535904975226,56.71,422.875229202242,28.72,352.721229828761,85.08,380.872173397846,280.06,509.759670440596,115.64,405.758358356609,
2841,31.9,456.113678862129,29.93,511.835782775759,32.56,441.337143464269,27.23,360.34630903036,51.3,403.088253003462,27.95,340.20872216293,76.9,360.270316271429,291.22,461.625987023848,106.61,363.057947505568,
2842,28.83,412.948434991595,29.39,485.553694549569,28.81,410.182074821584,22.3,320.306851756946,46.99,391.18335732251,26.16,330.307929992483,63.97,342.130842991286,256.34,421.382853969298,103.59,316.226431887777,
2843,28.23,387.884480775905,26.16,456.37486197078,26.82,405.330535495771,20.05,290.057332312915,45.61,377.445151786436,25.83,316.180165888869,58.5,314.796584164287,230.33,399.51652186679,92.87,277.927807841729,
2844,27.51,379.982689940926,24.98,441.901295352605,25.43,403.015385680823,15.56,269.331960505102,44.06,369.473053329342,24.93,302.049206767139,55.17,280.275835800719,217.4,376.006939025343,82.23,241.990321255654,
2845,26.45,381.363918762983,27.39,438.32001249923,23.09,389.663440231606,12.84,247.260157045497,43,360.114692849431,24.06,294.739933537653,49.36,258.259306045207,208.37,366.102148828355,78.96,216.639120317271,
2846,26.92,387.946274869819,26.96,431.461946990242,25.24,393.964670498255,12.08,236.206729727931,40.67,359.92724661121,24.89,295.320284999486,46.7,257.849437002189,197.25,357.308152755033,66.2,210.576806170204,
2847,28.75,406.295306074075,26.5,426.394158270574,25.04,394.635640623544,12.95,236.681374540079,39.41,367.159270578489,24.85,302.155212360893,45,271.326721470083,195.24,357.54917745207,69.05,217.952955192983,
2848,28.99,440.250896074398,30,444.625923200762,27.46,427.879553492733,15.97,252.061258872608,39.9,366.503492943628,24.81,329.025160915966,47.4,312.554160548069,195.04,374.582059729801,80,237.777539674088,
